stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
136,,"Anton Dvorak, 5",,28.07420128,-15.41879348,,,,,,
519,,"Archivero Joaquín Blanco Montesdeoca (Mimosa)",,28.11297418,-15.45153947,,,,,,
520,,"Archivero Joaquín Blanco Montesdeoca, 21",,28.11377304,-15.45366599,,,,,,
529,,"Archivero Joaquín Blanco Montesdeoca (rtda. Nicolás Díaz Chico)",,28.11459034,-15.45479426,,,,,,
952,,"Archivero Joaquín Blanco Montesdeoca (rtda. Nicolás Díaz Chico)",,28.11459034,-15.45479426,,,,,,
606,,"Archivero Joaquín Blanco Montesdeoca, 3",,28.11111083,-15.44941125,,,,,,
597,,"Archivero Joaquín Blanco Montesdeoca, frente 3",,28.11121276,-15.44902018,,,,,,
500,,"Arequipa (Guaguas Municipales)",,28.15654496,-15.42173551,,,,,,
169,,"Arguineguín",,28.10926667,-15.45698333,,,,,,
238,,"Arguineguín, 8",,28.10927187,-15.45713266,,,,,,
540,,"Arminda (La Favorita)",,28.08502373,-15.43726612,,,,,,
985,,"Arminda, 28 (El Secadero)",,28.08300652,-15.43900441,,,,,,
525,,"Arminda, frente 1",,28.08487416,-15.43732423,,,,,,
980,,"Arquitecto Laureano Arroyo (San Francisco de Paula)",,28.05662445,-15.45138764,,,,,,
676,,"Arquitecto Laureano Arroyo, 102 B",,28.05897973,-15.44740941,,,,,,
678,,"Arquitecto Laureano Arroyo, 64",,28.05802328,-15.45020791,,,,,,
687,,"Arquitecto Laureano Arroyo, 73",,28.05801468,-15.45040246,,,,,,
683,,"Arquitecto Laureano Arroyo, 80",,28.05834100,-15.44941100,,,,,,
111,,"Aldea Blanca (Tanatorio San Miguel)",,28.11298426,-15.45563387,,,,,,
228,,"Aldea Blanca (Tanatorio San Miguel)",,28.11290384,-15.45582994,,,,,,
278,,"Bandama, 25",,28.15441694,-15.42509488,,,,,,
220,,"Barahona, 19",,28.09188242,-15.43396840,,,,,,
201,,"Barahona, 77",,28.09461300,-15.43318700,,,,,,
203,,"Barahona, frente 19",,28.09209137,-15.43392376,,,,,,
202,,"Batería de San Juan",,28.09383204,-15.42231542,,,,,,
975,,"Batería de San Juan",,28.09358484,-15.42197009,,,,,,
185,,"Batería de San Juan, 16",,28.09587312,-15.42076813,,,,,,
187,,"Batería de San Juan, 48",,28.09465959,-15.42171466,,,,,,
140,,"Berlioz, 5",,28.07447047,-15.42036034,,,,,,
585,,"Betania, 41",,28.10218770,-15.46855411,,,,,,
583,,"Betania, 69",,28.10085208,-15.46958906,,,,,,
587,,"Betania, 7",,28.10347977,-15.46756990,,,,,,
77,,"Blas Cabrera Felipe (Carrefour)",,28.07183400,-15.41781700,,,,,,
102,,"Blas Cabrera Felipe (Carrefour)",,28.07246374,-15.41753595,,,,,,
89,,"Blas Cabrera Felipe (iglesia Sta. Clara)",,28.08390900,-15.41926695,,,,,,
94,,"Blas Cabrera Felipe (iglesia Sta. Clara)",,28.08202753,-15.41871995,,,,,,
95,,"Ciudad Deportiva Gran Canaria",,28.07640340,-15.41732628,,,,,,
